"year","round","player","DM"
2009,"Final","Rafael Nadal",0.975609756097561
2009,"semi","Rafael Nadal",1.09677419354839
2009,"semi","Roger Federer",1.38461538461538
2009,"quarter","Rafael Nadal",1.375
2009,"quarter","Fernando Verdasco",1.09090909090909
2009,"quarter","Roger Federer",3.47058823529412
2009,"quarter","Andy Roddick",1.72
2009,"Fourth","Rafael Nadal",1.77777777777778
2009,"Fourth","Jo-Wilfried Tsonga",1.23333333333333
2009,"Fourth","Gilles Simon",1.16666666666667
2009,"Fourth","Fernando Verdasco",1
2009,"Fourth","Juan Martin Del Potro",1.08333333333333
2009,"Fourth","Andy Roddick",1.57692307692308
2009,"Fourth","Roger Federer",1.05405405405405
2009,"Fourth","Novak Djokovic",1.33333333333333
2009,"Third","James Blake",1.59259259259259
2009,"Third","Fernando Gonzalez",0.971428571428571
2009,"Third","Gael Monfils",1.20588235294118
2009,"Third","Fernando Verdasco",1.87878787878788
2009,"Third","Jo-Wilfried Tsonga",1.22222222222222
2009,"Third","Andy Murray",1.57575757575758
2009,"Third","Rafael Nadal",2.57894736842105
2009,"Third","Gilles Simon",1.16666666666667
2009,"Third","Tommy Robredo",1.67741935483871
2009,"Third","Andy Roddick",1.95238095238095
2009,"Third","Marin Cilic",1.05555555555556
2009,"Third","Marcos Baghdatis",1.31428571428571
2009,"Third","Tomas Berdych",1.22857142857143
2009,"Third","Novak Djokovic",1.19354838709677
2009,"Third","Roger Federer",1.625
2009,"Third","Juan Martin Del Potro",1.73913043478261
2009,"Second","Radek Stepanek",1.20588235294118
2009,"Second","Richard Gasquet",1.58620689655172
2009,"Second","Nicolas Almagro",1.66666666666667
2009,"Second","Andy Murray",1.6
2009,"Second","James Blake",1.74074074074074
2009,"Second","Jurgen Melzer",1.07894736842105
2009,"Second","Mario Ancic",1.32
2009,"Second","Igor Andreev",1.11428571428571
2009,"Second","Fernando Verdasco",3.11111111111111
2009,"Second","Dudi Sela",1.375
2009,"Second","Tommy Haas",1.83333333333333
2009,"Second","Gilles Simon",1.46153846153846
2009,"Second","Jo-Wilfried Tsonga",1.16
2009,"Second","Fernando Gonzalez",1.57692307692308
2009,"Second","Rafael Nadal",1.5
2009,"Second","Gael Monfils",1.16666666666667
2009,"Second","Marat Safin",1.82608695652174
2009,"Second","Mardy Fish",1.36363636363636
2009,"Second","Tomas Berdych",2.08
2009,"Second","Stanislas Wawrinka",1.65217391304348
2009,"Second","Marcos Baghdatis",1.21052631578947
2009,"Second","David Ferrer",3.23529411764706
2009,"Second","Novak Djokovic",1.66666666666667
2009,"Second","Tommy Robredo",2.85
